PropertyID,PropertyStreetCode,PropertyTown,PropertyCounty,PropertyCurrentStatus,PropertyType,PropertyAreaOffice,PropertyOwningBody,PropertyLocalAuthorityArea,PropertySubType,PropertyStyle,YearOfConstruction,BedSpaces
U13210,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,4
U13211,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,4
U13217,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13223,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13224,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13225,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13226,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13227,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13228,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13229,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13232,"The Square, Harbour Heights",Passage West,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Semi-detached House,2022,3
U13234,"The Square, Harbour Heights",Passage West,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Semi-detached House,2022,3
U13235,"The Square, Harbour Heights",Passage West,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Semi-detached House,2022,3
U13240,"The Square, Harbour Heights",Passage West,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Terraced House,2022,2
U13241,"The Square, Harbour Heights",Passage West,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Terraced House,2022,2
U13330,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13331,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13332,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13333,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13334,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13335,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13336,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13337,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13338,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13257,Lancaster Gate CREL,Western Road,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Apartment,2022,2
U13258,Lancaster Gate CREL,Western Road,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Apartment,2022,2
U13259,Lancaster Gate CREL,Western Road,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Apartment,2022,2
U13260,Lancaster Gate CREL,Western Road,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Apartment,2022,2
U13261,Lancaster Gate CREL,Western Road,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Apartment,2022,2
U13262,Lancaster Gate CREL,Western Road,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Apartment,2022,2
U13263,Lancaster Gate CREL,Western Road,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Apartment,2022,2
U13264,Lancaster Gate CREL,Western Road,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Apartment,2022,2
U13354,Ledwill Park,Kilcock,Co. Kildare,Occupied,Property,Robert O'Keeffe,Residential In Management,Kildare County ,General Needs,Terraced House,2022,2
U13355,Ledwill Park,Kilcock,Co. Kildare,Occupied,Property,Robert O'Keeffe,Residential In Management,Kildare County ,General Needs,Terraced House,2022,2
U13356,Ledwill Park,Kilcock,Co. Kildare,Occupied,Property,Robert O'Keeffe,Residential In Management,Kildare County ,General Needs,Terraced House,2022,2
U13357,Ledwill Park,Kilcock,Co. Kildare,Occupied,Property,Robert O'Keeffe,Residential In Management,Kildare County ,General Needs,Terraced House,2022,2
U13358,Ledwill Park,Kilcock,Co. Kildare,Occupied,Property,Robert O'Keeffe,Residential In Management,Kildare County ,General Needs,Bungalow -semi-detached,2022,3
U13359,Ledwill Park,Kilcock,Co. Kildare,Occupied,Property,Robert O'Keeffe,Residential In Management,Kildare County ,General Needs,Bungalow -semi-detached,2022,3
U13360,Ledwill Park,Kilcock,Co. Kildare,Occupied,Property,Robert O'Keeffe,Residential In Management,Kildare County ,General Needs,Bungalow -semi-detached,2022,3
U13361,Ledwill Park,Kilcock,Co. Kildare,Occupied,Property,Robert O'Keeffe,Residential In Management,Kildare County ,General Needs,Bungalow -semi-detached,2022,3
U13362,Ledwill Park,Kilcock,Co. Kildare,Occupied,Property,Robert O'Keeffe,Residential In Management,Kildare County ,General Needs,Bungalow -semi-detached,2022,3
U13374,"Newton Heights, Boherboy Road",Mayfield,Co. Cork,Pre-acquisition Void,Property,Gerard Deegan,In Development - pre closing,Cork County ,General Needs,Apartment,2023,1
U13375,"Newton Heights, Boherboy Road",Mayfield,Co. Cork,Pre-acquisition Void,Property,Gerard Deegan,In Development - pre closing,Cork County ,General Needs,Apartment,2023,1
U13376,"Newton Heights, Boherboy Road",Mayfield,Co. Cork,Pre-acquisition Void,Property,Gerard Deegan,In Development - pre closing,Cork County ,General Needs,Duplex,2023,2
U13377,"Newton Heights, Boherboy Road",Mayfield,Co. Cork,Pre-acquisition Void,Property,Gerard Deegan,In Development - pre closing,Cork County ,General Needs,Duplex,2023,2
U13378,"Newton Heights, Boherboy Road",Mayfield,Co. Cork,Pre-acquisition Void,Property,Gerard Deegan,In Development - pre closing,Cork County ,General Needs,Apartment,2023,2
U13379,"Newton Heights, Boherboy Road",Mayfield,Co. Cork,Pre-acquisition Void,Property,Gerard Deegan,In Development - pre closing,Cork County ,General Needs,Apartment,2023,2
U13380,"Newton Heights, Boherboy Road",Mayfield,Co. Cork,Pre-acquisition Void,Property,Gerard Deegan,In Development - pre closing,Cork County ,General Needs,Apartment,2023,2
U13381,"Newton Heights, Boherboy Road",Mayfield,Co. Cork,Pre-acquisition Void,Property,Gerard Deegan,In Development - pre closing,Cork County ,General Needs,Apartment,2023,2
U13382," Woodfield Manor, Cloonyscrehane",Newcastle West,Co. Limerick,Occupied,Property,Gerard Deegan,Residential In Management,Limerick City & County ,General Needs,Semi-detached House,2022,3
U13169,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13170,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13171,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13168,Grallagh,Claremorris,Co. Mayo,Occupied,Property,Aimee McGee,Residential In Management,Mayo County ,General Needs,Detached House,2001,5
U13174,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,1
U13175,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13177,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13139,Sli na Coille,Tramore,Co. Waterford,Occupied,Property,Robert O'Keeffe,Residential In Management,Waterford City and County ,General Needs,Detached House,2022,1
U13140,Sli na Coille,Tramore,Co. Waterford,Occupied,Property,Robert O'Keeffe,Residential In Management,Waterford City and County ,General Needs,Terraced House,2022,3
U13142,Sli na Coille,Tramore,Co. Waterford,Occupied,Property,Robert O'Keeffe,Residential In Management,Waterford City and County ,General Needs,Duplex,2022,2
U13149,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,2
U13213,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13214,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13179,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,1
U13180,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13247,Gort Na Fuinse,Headford,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway County ,General Needs,Semi-detached House,2022,4
U13248,Gort Na Fuinse,Headford,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway County ,General Needs,Terraced House,2022,2
U13249,Gort Na Fuinse,Headford,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway County ,General Needs,Terraced House,2022,3
U13250,Gort Na Fuinse,Headford,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway County ,General Needs,Terraced House,2022,3
U13253,Gort Na Fuinse,Headford,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway County ,General Needs,Terraced House,2022,3
U13183,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13187,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13189,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13190,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13191,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13194,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13197,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13198,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13200,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,1
U13254,Gort Na Fuinse,Headford,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway County ,General Needs,Terraced House,2022,2
U13255,Gort Na Fuinse,Headford,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway County ,General Needs,Terraced House,2022,3
U13201,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,2
U13202,Charlemont Gate ,Griffith Avenue ,Dublin 9,Occupied,Property,Brian Lambe,Residential In Management,Dublin City ,General Needs,Apartment,2022,1
U13205,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U13206,Ard Na Greine,Milltown,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2022,3
U12849,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Duplex,2022,3
U12850,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Duplex,2022,2
U12852,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Duplex,2022,2
U12859,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Apartment,2022,1
U12860,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Apartment,2022,1
U12862,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12863,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12864,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12865,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12867,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12868,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12872,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12873,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12875,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12876,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12880,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12881,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12884,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,1
U12886,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12887,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12889,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12891,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12892,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12896,Elmwood-Johnstown Place,"Cabinteely, Dún Laoghaire",Co. Dublin,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U13150,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13152,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13154,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13157,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,2
U13159,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,2
U13162,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13163,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,3
U13164,The Gallops,Cavan,Co. Cavan,Occupied,Property,Aimee McGee,Residential In Management,Cavan County ,General Needs,Semi-detached House,2022,4
873,Mill Court,Bandon,Co. Cork,Occupied,Property,Mick Concannon,Residential In Management,Cork County ,Older Persons - Sheltered,Apartment,2007,1
8733,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8734,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8735,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8736,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8739,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
8741,Taylor Hill,Balbriggan,Co. Dublin,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Semi-detached House,2018,3
U12776,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12778,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12779,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12780,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12782,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12786,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12787,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12788,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12791,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12792,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12795,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12796,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12797,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12798,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12800,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12803,College Street,Baldoyle ,Dublin 13,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Bungalow - terraced,2022,2
U12805,College Street,Baldoyle ,Dublin 13,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Bungalow - terraced,2022,1
U12808,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,2
U12809,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12810,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12814,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12817,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,2
U12818,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12819,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12820,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,2
